Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Points-VOR,Rank
Damien Williams,KCC,RB,27,5,195.5,12.21875,17,1.75,64.7,19
Cairo Santos,TBB,K,28,5,22.5,1.40625,29,0,-111.0333333,436
Senorise Perry,BUF,RB,28,5,0,0,96,0,-130.8,457
Keith Smith,OAK,RB,27,5,0,0,96,0,-130.8,457
Denico Autry,IND,DT,29,2019,58.5,3.65625,44,0.2,-23.88333333,236
Todd Davis,DEN,LB,27,5,108.25,6.765625,24,1.45,-17.75,196
Jameis Winston,TBB,QB,25,4,284.3,17.76875,12,1.67,1.113333333,86
Brett Hundley,ARI,QB,26,4,0,0,35,0,-283.1866667,462
Sean Mannion,MIN,QB,27,4,0,0,35,0,-283.1866667,462
Tevin Coleman,SFO,RB,26,4,145.3,9.08125,29,3.35,14.5,58
Ameer Abdullah,MIN,RB,26,4,0.89,0.055625,94,0.635,-129.91,455
Duke Johnson,CLE,RB,26,4,112.5,7.03125,43,10,-18.3,199
Javorius Allen,NOS,RB,28,4,0,0,96,0,-130.8,457
Thomas Rawls,JAC,RB,26,4,0,0,96,0,-130.8,457
Jesse James,DET,TE,25,4,63.7,3.98125,28,3.05,-30.66666667,289
Dante Fowler,LAR,LB,25,4,64.15,4.009375,68,0.45,-61.85,379
Arik Armstead,SFO,DE,25,4,56.6,3.5375,50,0.425,-25.78333333,255
Danielle Hunter,MIN,DE,25,4,91.95,5.746875,5,5.6,9.566666667,65
Leonard Williams,NYJ,DE,25,4,59.35,3.709375,41,0.525,-23.03333333,230
Vic Beasley,ATL,DE,27,4,58.5,3.65625,74,0.35,-67.5,395
Shaq Thompson,CAR,LB,25,4,112.15,7.009375,17,0.725,-13.85,171
