Yahoo-ID,Player,Team,Position,Proj-Value,AAV,Percent-Drafted,ADP,Avg-Round,Percent-Drafted
8447,Mason Crosby,GB,K,$0 ,1,70%,138.2,15.6,55%
27369,Brett Maher,Dal,K,$0 ,1,91%,139.3,15.6,80%
30266,Jake Elliott,Phi,K,$0 ,1,61%,141.9,16,47%
9526,Graham Gano,Car,K,$0 ,1,23%,143.2,16.2,16%
8565,Matt Prater,Det,K,$0 ,1,77%,143.5,16.4,51%
26264,Giorgio Tavecchio,Atl,K,$0 ,1,89%,144,16.2,70%
25427,Dan Bailey,Min,K,$0 ,1,63%,144.1,16.4,41%
28493,Jamison Crowder,NYJ,WR,$1 ,0,0%,0,0,0%
27737,Quincy Enunwa,NYJ,WR,$1 ,0,0%,0,0,0%
30301,Elijah McGuire,NYJ,RB,$1 ,0,0%,0,0,0%
31061,Tre'Quan Smith,NO,WR,$1 ,0,0%,0,0,0%
31424,Gus Edwards,Bal,RB,$1 ,0,0%,0,0,0%
29368,Kenneth Dixon,Bal,RB,$1 ,0,0%,0,0,0%
26777,Chris Thompson,Was,RB,$1 ,0,0%,0,0,0%
24822,Andy Dalton,Cin,QB,$1 ,0,0%,0,0,0%
31894,Andy Isabella,Ari,WR,$1 ,0,0%,0,0,0%
31012,Mike Gesicki,Mia,TE,$1 ,0,0%,0,0,0%
30150,Zay Jones,Buf,WR,$1 ,0,0%,0,0,0%
28390,Marcus Mariota,Ten,QB,$1 ,0,0%,0,0,0%
26660,Giovani Bernard,Cin,RB,$1 ,0,0%,0,0,0%
30157,Gerald Everett,LAR,TE,$1 ,0,0%,0,0,0%
28234,Taylor Gabriel,Chi,WR,$1 ,0,0%,0,0,0%
30494,Ricky Seals-Jones,Ari,TE,$0 ,0,0%,0,0,0%
31883,A.J. Brown,Ten,WR,$0 ,0,0%,0,0,0%
30339,David Moore,Sea,WR,$0 ,0,0%,0,0,0%
28046,Albert Wilson,Mia,WR,$0 ,0,0%,0,0,0%
7241,Frank Gore,Buf,RB,$0 ,0,0%,0,0,0%
9037,Danny Amendola,Det,WR,$0 ,0,0%,0,0,0%
30995,Hayden Hurst,Bal,TE,$1 ,0,0%,0,0,0%
27566,Austin Seferian-Jenkins,NE,TE,$1 ,0,0%,0,0,0%
8263,Ted Ginn Jr.,NO,WR,$0 ,0,0%,0,0,0%
8795,Joe Flacco,Den,QB,$0 ,0,0%,0,0,0%
7426,Ryan Fitzpatrick,Mia,QB,$0 ,0,0%,0,0,0%
27567,Marqise Lee,Jax,WR,$1 ,0,0%,0,0,0%
31945,Justice Hill,Bal,RB,$0 ,0,0%,0,0,0%
30122,John Ross,Cin,WR,$1 ,0,0%,0,0,0%
28424,T.J. Yeldon,Buf,RB,$1 ,0,0%,0,0,0%
26822,Theo Riddick,Det,RB,$1 ,0,0%,0,0,0%
31567,Josh Adams,Phi,RB,$1 ,0,0%,0,0,0%
30707,Corey Clement,Phi,RB,$0 ,0,0%,0,0,0%
31071,Ian Thomas,Car,TE,$0 ,0,0%,0,0,0%
31972,Ryquell Armstead,Jax,RB,$0 ,0,0%,0,0,0%
28990,Malcolm Brown,LAR,RB,$0 ,0,0%,0,0,0%
30980,Josh Rosen,Mia,QB,$0 ,0,0%,0,0,0%
29256,Josh Doctson,Was,WR,$0 ,0,0%,0,0,0%
30230,Josh Reynolds,LAR,WR,$0 ,0,0%,0,0,0%
31908,Terry McLaurin,Was,WR,$0 ,0,0%,0,0,0%
31177,Equanimeous St. Brown,GB,WR,$0 ,0,0%,0,0,0%
28537,Jay Ajayi,Phi,RB,$1 ,0,0%,0,0,0%
27573,Paul Richardson Jr.,Was,WR,$0 ,0,0%,0,0,0%
28267,Cameron Brate,TB,TE,$1 ,0,0%,0,0,0%
31889,JJ Arcega-Whiteside,Phi,WR,$0 ,0,0%,0,0,0%
30185,Taywan Taylor,Ten,WR,$0 ,0,0%,0,0,0%
28685,Josh Lambo,Jax,K,$0 ,0,0%,0,0,0%
31954,Benny Snell Jr.,Pit,RB,$0 ,0,0%,0,0,0%
9520,Ryan Succop,Ten,K,$0 ,0,0%,0,0,0%
6243,Matt Bryant,Atl,K,$0 ,0,0%,0,0,0%
6760,Eli Manning,NYG,QB,$0 ,0,0%,0,0,0%
30213,Jonnu Smith,Ten,TE,$0 ,0,0%,0,0,0%
26483,Case Keenum,Was,QB,$0 ,0,0%,0,0,0%
9066,Stephen Hauschka,Buf,K,$0 ,0,0%,0,0,0%
28227,Cairo Santos,TB,K,$0 ,0,0%,0,0,0%
arizona,Arizona,Ari,DEF,$0 ,0,0%,0,0,0%
25718,Ryan Tannehill,Ten,QB,$0 ,0,0%,0,0,0%
8266,Marshawn Lynch,Oak,RB,$0 ,0,0%,0,0,0%
29405,Alex Collins,Bal,RB,$0 ,0,0%,0,0,0%
28014,Isaiah Crowell,Oak,RB,$1 ,0,0%,0,0,0%
31090,Will Dissly,Sea,TE,$0 ,0,0%,0,0,0%
30217,C.J. Beathard,SF,QB,$0 ,0,0%,0,0,0%
8813,Jordy Nelson,Oak,WR,$0 ,0,0%,0,0,0%
7177,Alex Smith,Was,QB,$0 ,0,0%,0,0,0%
24913,Bilal Powell,NYJ,RB,$0 ,0,0%,0,0,0%
24053,Brandon LaFell,Oak,WR,$0 ,0,0%,0,0,0%
6791,Benjamin Watson,NE,TE,$0 ,0,0%,0,0,0%
9274,Michael Crabtree,Bal,WR,$0 ,0,0%,0,0,0%
7306,Darren Sproles,Phi,RB,$0 ,0,0%,0,0,0%
25120,Dontrelle Inman,NE,WR,$0 ,0,0%,0,0,0%
washington,Washington,Was,DEF,$0 ,0,0%,0,0,0%
7755,Vernon Davis,Was,TE,$0 ,0,0%,0,0,0%
30563,Nick Mullens,SF,QB,$0 ,0,0%,0,0,0%
miami,Miami,Mia,DEF,$0 ,0,0%,0,0,0%
28480,Jeff Heuerman,Den,TE,$0 ,0,0%,0,0,0%
28548,Jesse James,Det,TE,$0 ,0,0%,0,0,0%
26060,Cole Beasley,Buf,WR,$0 ,0,0%,0,0,0%
29406,Rashard Higgins,Cle,WR,$0 ,0,0%,0,0,0%
25178,Chris Hogan,Car,WR,$0 ,0,0%,0,0,0%
27531,Blake Bortles,LAR,QB,$0 ,0,0%,0,0,0%
28634,Geoff Swaim,Jax,TE,$0 ,0,0%,0,0,0%
26800,Dustin Hopkins,Was,K,$0 ,0,0%,0,0,0%
30000,Jalen Richard,Oak,RB,$0 ,0,0%,0,0,0%
28545,C.J. Uzomah,Cin,TE,$0 ,0,0%,0,0,0%
8982,Pierre Garcon,SF,WR,$0 ,0,0%,0,0,0%
25741,Doug Martin,Oak,RB,$0 ,0,0%,0,0,0%
27911,Cody Parkey,Chi,K,$0 ,0,0%,0,0,0%
24045,Ed Dickson,Sea,TE,$0 ,0,0%,0,0,0%
5046,Sebastian Janikowski,Sea,K,$0 ,0,0%,0,0,0%
30784,Blake Jarwin,Dal,TE,$0 ,0,0%,0,0,0%
27634,Bruce Ellington,NE,WR,$0 ,0,0%,0,0,0%
29387,Wendell Smallwood,Phi,RB,$0 ,0,0%,0,0,0%
26612,Darren Fells,Hou,TE,$0 ,0,0%,0,0,0%
28513,Javorius Allen,NO,RB,$0 ,0,0%,0,0,0%
30158,Adam Shaheen,Chi,TE,$0 ,0,0%,0,0,0%
6663,Antonio Gates,LAC,TE,$0 ,0,0%,0,0,0%
28887,Zach Zenner,Det,RB,$0 ,0,0%,0,0,0%
27914,Erik Swoope,Oak,TE,$0 ,0,0%,0,0,0%
31137,Daniel Carlson,Oak,K,$0 ,0,0%,0,0,0%
30240,Michael Roberts,GB,TE,$0 ,0,0%,0,0,0%
28026,Willie Snead IV,Bal,WR,$0 ,0,0%,0,0,0%
30571,Anthony Firkser,Ten,TE,$0 ,0,0%,0,0,0%
30396,Keelan Cole,Jax,WR,$0 ,0,0%,0,0,0%
28103,Chandler Catanzaro,NYJ,K,$0 ,0,0%,0,0,0%
24946,Lee Smith,Buf,TE,$0 ,0,0%,0,0,0%
26253,Garrett Celek,SF,TE,$0 ,0,0%,0,0,0%
29344,Tyler Higbee,LAR,TE,$0 ,0,0%,0,0,0%
27646,Martavis Bryant,Oak,WR,$0 ,0,0%,0,0,0%
26756,Levine Toilolo,SF,TE,$0 ,0,0%,0,0,0%
31310,Matt McCrane,Pit,K,$0 ,0,0%,0,0,0%
25991,Jermaine Kearse,Det,WR,$0 ,0,0%,0,0,0%
29328,Nick Vannett,Sea,TE,$0 ,0,0%,0,0,0%
31181,Jordan Thomas,Hou,TE,$0 ,0,0%,0,0,0%
25871,Randy Bullock,Cin,K,$0 ,0,0%,0,0,0%
25681,Terrelle Pryor Sr.,Jax,WR,$0 ,0,0%,0,0,0%
26824,Ryan Griffin,Hou,TE,$0 ,0,0%,0,0,0%
25838,Rhett Ellison,NYG,TE,$0 ,0,0%,0,0,0%
26652,Cordarrelle Patterson,Chi,WR,$0 ,0,0%,0,0,0%
29609,Chester Rogers,Ind,WR,$0 ,0,0%,0,0,0%
29420,Jakeem Grant,Mia,WR,$0 ,0,0%,0,0,0%
30891,Dan Arnold,NO,TE,$0 ,0,0%,0,0,0%
28214,Seth Roberts,Bal,WR,$0 ,0,0%,0,0,0%
